graphe_run,metrique,modele_vue2,longueur_predit,true_hits,nombre_noeud_touve,f1_score,mean,Truehits,Noeud_predit
66,cosinus,1,32,20,15,0.57692,0.47697,"{1: {675, 454, 167, 392, 169, 777, 332, 110, 111, 174, 760, 148, 534, 24, 25, 56, 187, 124, 317, 286}}","{392, 777, 913, 21, 25, 286, 163, 37, 167, 169, 171, 174, 56, 825, 187, 317, 319, 192, 454, 72, 332, 213, 726, 100, 745, 362, 490, 877, 111, 760, 379, 124}"
67,cosinus,1,25,20,16,0.71111,0.48046,"{1: {288, 321, 706, 6, 775, 328, 74, 76, 140, 721, 20, 564, 310, 56, 217, 285, 155, 60, 125, 959}}","{775, 140, 21, 155, 285, 288, 296, 564, 182, 310, 60, 321, 706, 328, 74, 76, 332, 721, 216, 217, 353, 228, 626, 885, 125}"
68,cosinus,1,45,20,16,0.49231,0.48064,"{1: {641, 676, 7, 232, 106, 363, 395, 426, 622, 175, 399, 913, 307, 308, 984, 151, 472, 185, 605, 95}}","{384, 641, 259, 516, 6, 7, 395, 13, 526, 399, 144, 17, 145, 913, 20, 151, 27, 413, 286, 541, 676, 426, 174, 175, 562, 185, 953, 573, 830, 68, 331, 472, 984, 95, 352, 99, 483, 232, 360, 106, 622, 113, 246, 887, 380}"
69,cosinus,1,25,20,13,0.57778,0.48205,"{1: {192, 260, 101, 133, 103, 104, 198, 202, 292, 392, 620, 46, 113, 306, 689, 181, 373, 155, 540, 703}}","{259, 260, 133, 155, 540, 28, 292, 680, 685, 46, 49, 317, 703, 451, 202, 91, 97, 227, 101, 103, 104, 617, 620, 373, 632}"
70,cosinus,1,38,20,18,0.62069,0.48403,"{1: {1, 386, 516, 5, 40, 616, 138, 75, 203, 142, 175, 208, 273, 85, 438, 378, 60, 157, 222, 95}}","{1, 257, 516, 5, 262, 391, 138, 14, 142, 273, 151, 26, 27, 40, 175, 436, 438, 60, 316, 202, 75, 203, 208, 465, 976, 85, 853, 729, 222, 95, 99, 742, 616, 365, 110, 626, 371, 378}"
71,cosinus,1,34,20,12,0.44444,0.48347,"{1: {32, 1, 162, 35, 418, 5, 449, 549, 296, 491, 44, 76, 523, 18, 691, 22, 214, 220, 510, 223}}","{2, 5, 261, 393, 144, 18, 22, 32, 418, 549, 170, 683, 44, 435, 180, 691, 449, 67, 69, 80, 211, 214, 600, 346, 859, 220, 225, 740, 358, 615, 746, 491, 621, 382}"
72,cosinus,1,30,20,12,0.48000,0.48342,"{1: {0, 68, 260, 324, 199, 424, 937, 74, 522, 12, 155, 845, 18, 339, 403, 181, 723, 25, 91, 28}}","{0, 260, 139, 12, 14, 399, 18, 25, 28, 547, 37, 424, 937, 432, 948, 181, 823, 442, 578, 834, 324, 71, 199, 74, 596, 89, 473, 235, 887, 255}"
73,cosinus,1,22,20,11,0.52381,0.48397,"{1: {0, 706, 38, 166, 198, 9, 393, 487, 648, 874, 974, 207, 240, 17, 469, 693, 790, 25, 858, 124}}","{393, 395, 17, 790, 25, 921, 290, 419, 38, 166, 315, 198, 464, 469, 87, 91, 97, 487, 240, 124, 253, 255}"
74,cosinus,1,42,20,17,0.54839,0.48484,"{1: {228, 134, 7, 424, 9, 170, 171, 747, 653, 494, 432, 17, 721, 51, 403, 754, 977, 247, 283, 380}}","{258, 643, 901, 134, 7, 263, 9, 12, 17, 403, 151, 282, 283, 411, 807, 170, 171, 433, 817, 51, 183, 188, 461, 206, 721, 977, 340, 216, 600, 228, 231, 744, 106, 747, 109, 494, 368, 754, 373, 247, 380, 382}"
75,cosinus,1,24,20,10,0.45455,0.48444,"{1: {290, 99, 36, 164, 582, 135, 423, 137, 834, 901, 77, 45, 109, 144, 179, 84, 371, 348, 569, 60}}","{259, 132, 5, 515, 135, 901, 13, 144, 146, 160, 294, 45, 177, 434, 179, 569, 60, 582, 845, 480, 99, 106, 365, 371}"
76,cosinus,1,35,20,15,0.54545,0.48524,"{1: {576, 608, 387, 132, 835, 134, 838, 168, 109, 717, 749, 464, 799, 117, 437, 502, 822, 58, 155, 415}}","{384, 1, 257, 387, 134, 522, 145, 786, 147, 415, 34, 39, 168, 296, 812, 692, 437, 58, 443, 64, 835, 838, 717, 464, 341, 96, 608, 736, 229, 109, 749, 626, 117, 502, 253}"
77,cosinus,1,13,20,5,0.30303,0.48288,"{1: {417, 354, 291, 68, 5, 700, 39, 232, 139, 171, 525, 78, 588, 50, 980, 598, 151, 604, 349, 350}}","{417, 68, 615, 490, 11, 44, 171, 14, 267, 757, 86, 700, 350}"
